rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId,timestamp
21,419. 홈플러스 마포점 앞,1,5,37.56842041,126.89942932,ST-87,2024-05-09 23:45:26
37,420. 서울시 공공자전거 상암센터,26,70,37.56624603,126.89617920,ST-85,2024-05-09 23:45:26
8,421. 마포구청 앞,7,88,37.56574631,126.90186310,ST-82,2024-05-09 23:45:26
9,422. 문화비축기지,6,67,37.56897736,126.89440155,ST-968,2024-05-09 23:45:26
15,424. 롯데하이마트 (상암월드컵점),2,13,37.57361984,126.89804840,ST-990,2024-05-09 23:45:26
10,425. DMC첨단산업센터,0,0,37.58450317,126.88559723,ST-991,2024-05-09 23:45:26
10,426. 서울신용보증재단,6,60,37.54906082,126.95417786,ST-992,2024-05-09 23:45:26
10,427. 성산시영아파트,10,100,37.56958389,126.90381622,ST-1397,2024-05-09 23:45:26
10,428. 명보사거리,0,0,37.56439972,126.99143219,ST-1437,2024-05-09 23:45:26
8,429. 송도병원,1,13,37.54988861,127.00734711,ST-1438,2024-05-09 23:45:26
6,430. 장충동먹자골목 앞,2,33,37.56212616,127.00625610,ST-1439,2024-05-09 23:45:26
25,431. 청계천 영도교,21,84,37.57101440,127.01974487,ST-1440,2024-05-09 23:45:26
10,432. 마포중앙도서관,10,100,37.56333923,126.90820312,ST-1494,2024-05-09 23:45:26
12,433. 을지로입구역 2번출구,0,0,37.56634521,126.98229218,ST-1668,2024-05-09 23:45:26
10,434. 신당 래미안 버스정류장,0,0,37.56148911,127.02393341,ST-1669,2024-05-09 23:45:26
10,435. SK 남산빌딩,0,0,37.55686188,126.97561646,ST-1670,2024-05-09 23:45:26
10,436. 이대역 5번출구,0,0,37.55659103,126.94618988,ST-1675,2024-05-09 23:45:26
